Departamento,Municipio,Zona,Centro,Acta,Inconsistencias,DC,LIBRE,PINU,PLH,PNH,PDF Link
ATLANTIDA,LA CEIBA,01,001_BO. LA ISLA - CENTRO EVANGELICO BETHEL,10,1,2,22,2,109,44,https://storage.googleapis.com/actas_elecciones_hn2025/actas/10.pdf
ATLANTIDA,LA CEIBA,01,001_BO. LA ISLA - CENTRO EVANGELICO BETHEL,15,1,0,33,1,103,50,https://storage.googleapis.com/actas_elecciones_hn2025/actas/15.pdf
ATLANTIDA,LA CEIBA,01,001_BO. LA ISLA - CENTRO EVANGELICO BETHEL,9,1,2,22,2,97,53,https://storage.googleapis.com/actas_elecciones_hn2025/actas/9.pdf
ATLANTIDA,LA CEIBA,01,026_COL. LAS MERCEDES - ESC. MARCO ANTONIO PONCE,102,1,1,16,0,92,40,https://storage.googleapis.com/actas_elecciones_hn2025/actas/102.pdf
ATLANTIDA,LA CEIBA,01,028_COL. SUYAPA - CEB RAFAEL  PINEDA PONCE,108,1,0,21,4,121,78,https://storage.googleapis.com/actas_elecciones_hn2025/actas/108.pdf
ATLANTIDA,LA CEIBA,01,028_COL. SUYAPA - CEB RAFAEL  PINEDA PONCE,117,1,1,15,1,115,53,https://storage.googleapis.com/actas_elecciones_hn2025/actas/117.pdf
ATLANTIDA,LA CEIBA,01,031_BO. SIERRA PINA - ESC. LEMPIRA,144,1,1,29,6,103,33,https://storage.googleapis.com/actas_elecciones_hn2025/actas/144.pdf
ATLANTIDA,LA CEIBA,01,035_COL. CASA BLANCA - CEB. EVA BERTOT DE MAZIER,177,1,0,18,2,88,43,https://storage.googleapis.com/actas_elecciones_hn2025/actas/177.pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,192,1,1,19,2,103,63,https://storage.googleapis.com/actas_elecciones_hn2025/actas/192.pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,193,1,0,37,0,82,59,https://storage.googleapis.com/actas_elecciones_hn2025/actas/193.pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,195,1,1,20,3,104,43,https://storage.googleapis.com/actas_elecciones_hn2025/actas/195.pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,198,1,1,7,2,100,48,https://storage.googleapis.com/actas_elecciones_hn2025/actas/198.pdf
ATLANTIDA,LA CEIBA,01,040_COL. MELGAR CASTRO No. 2 - ESC. POLICARPO PAZ GARCIA,205,1,1,36,2,115,45,https://storage.googleapis.com/actas_elecciones_hn2025/actas/205.pdf
ATLANTIDA,LA CEIBA,01,040_COL. MELGAR CASTRO No. 2 - ESC. POLICARPO PAZ GARCIA,206,1,0,29,5,101,59,https://storage.googleapis.com/actas_elecciones_hn2025/actas/206.pdf
ATLANTIDA,LA CEIBA,01,042_COL. EL DANTO - ESC. JOSE TRINIDAD REYES,216,1,2,31,4,105,42,https://storage.googleapis.com/actas_elecciones_hn2025/actas/216.pdf
ATLANTIDA,LA CEIBA,01,042_COL. EL DANTO - ESC. JOSE TRINIDAD REYES,222,1,0,30,0,104,68,https://storage.googleapis.com/actas_elecciones_hn2025/actas/222.pdf
ATLANTIDA,LA CEIBA,01,042_COL. EL DANTO - ESC. JOSE TRINIDAD REYES,224,1,1,34,5,115,43,https://storage.googleapis.com/actas_elecciones_hn2025/actas/224.pdf
ATLANTIDA,LA CEIBA,01,045_COL. BRISAS DEL NORTE - ESC. JESUS AGUILAR PAZ,230,1,0,21,4,85,44,https://storage.googleapis.com/actas_elecciones_hn2025/actas/230.pdf
ATLANTIDA,LA CEIBA,01,045_COL. BRISAS DEL NORTE - ESC. JESUS AGUILAR PAZ,232,1,0,22,2,92,27,https://storage.googleapis.com/actas_elecciones_hn2025/actas/232.pdf
ATLANTIDA,LA CEIBA,01,046_COL. CLUB DE LEONES - ESC. RAFAEL BARDALES BUESO,237,1,0,36,4,116,39,https://storage.googleapis.com/actas_elecciones_hn2025/actas/237.pdf
ATLANTIDA,LA CEIBA,01,048_COL. PRIMERO DE MAYO - CEB. ENRIQUE ORTEZ PINEL,247,1,0,30,1,76,41,https://storage.googleapis.com/actas_elecciones_hn2025/actas/247.pdf
ATLANTIDA,LA CEIBA,01,048_COL. PRIMERO DE MAYO - CEB. ENRIQUE ORTEZ PINEL,248,1,0,20,1,67,54,https://storage.googleapis.com/actas_elecciones_hn2025/actas/248.pdf
ATLANTIDA,LA CEIBA,01,053_COL. EL CONFITE - CEB JOSE VALENTIN VASQUEZ,252,1,0,35,1,96,60,https://storage.googleapis.com/actas_elecciones_hn2025/actas/252.pdf
ATLANTIDA,LA CEIBA,01,053_COL. EL CONFITE - CEB JOSE VALENTIN VASQUEZ,256,1,2,25,5,100,69,https://storage.googleapis.com/actas_elecciones_hn2025/actas/256.pdf
ATLANTIDA,LA CEIBA,01,054_BONITILLO - CEB. MIGUEL PAZ BARAHONA,264,1,0,18,1,70,71,https://storage.googleapis.com/actas_elecciones_hn2025/actas/264.pdf
ATLANTIDA,LA CEIBA,01,054_BONITILLO - CEB. MIGUEL PAZ BARAHONA,268,1,0,7,1,80,88,https://storage.googleapis.com/actas_elecciones_hn2025/actas/268.pdf
ATLANTIDA,LA CEIBA,01,055_COL. IRIAS NAVAS - INST. MARCIO RENE ESPINAL,275,1,0,23,3,108,39,https://storage.googleapis.com/actas_elecciones_hn2025/actas/275.pdf
ATLANTIDA,LA CEIBA,01,062_COL. LAS DELICIAS I - ESC. REPUBLICA DE ALEMANIA #1,304,1,0,25,2,95,71,https://storage.googleapis.com/actas_elecciones_hn2025/actas/304.pdf
ATLANTIDA,LA CEIBA,01,062_COL. LAS DELICIAS I - ESC. REPUBLICA DE ALEMANIA #1,305,1,0,21,1,102,58,https://storage.googleapis.com/actas_elecciones_hn2025/actas/305.pdf
ATLANTIDA,LA CEIBA,01,063_COL. LOMAS DE PALMIRA - ESC. MARGIE DIP,306,1,0,27,2,70,42,https://storage.googleapis.com/actas_elecciones_hn2025/actas/306.pdf
ATLANTIDA,LA CEIBA,01,011_COL. LOS MAESTROS O 17 DE SEPTIEMBRE - LOCAL COLEGIO DE ABOGADOS,36,1,0,49,1,93,49,https://storage.googleapis.com/actas_elecciones_hn2025/actas/36.pdf
ATLANTIDA,LA CEIBA,01,011_COL. LOS MAESTROS O 17 DE SEPTIEMBRE - LOCAL COLEGIO DE ABOGADOS,37,1,0,58,7,94,35,https://storage.googleapis.com/actas_elecciones_hn2025/actas/37.pdf
ATLANTIDA,LA CEIBA,01,016_COL. MIRAMAR - ESC. RAFAELA H. RODRIGUEZ,46,1,0,43,4,101,52,https://storage.googleapis.com/actas_elecciones_hn2025/actas/46.pdf
ATLANTIDA,LA CEIBA,01,016_COL. MIRAMAR - ESC. RAFAELA H. RODRIGUEZ,57,1,0,34,1,107,54,https://storage.googleapis.com/actas_elecciones_hn2025/actas/57.pdf
ATLANTIDA,LA CEIBA,01,023_BO. BELLA VISTA - CEB JOSE CECIIO DEL VALLE,86,1,3,26,2,103,40,https://storage.googleapis.com/actas_elecciones_hn2025/actas/86.pdf
ATLANTIDA,LA CEIBA,02,003_COROZAL - ESC. RAMON ROSA,315,1,0,16,0,93,24,https://storage.googleapis.com/actas_elecciones_hn2025/actas/315.pdf
ATLANTIDA,LA CEIBA,02,003_COROZAL - ESC. RAMON ROSA,317,1,2,14,5,106,25,https://storage.googleapis.com/actas_elecciones_hn2025/actas/317.pdf
ATLANTIDA,LA CEIBA,02,003_COROZAL - ESC. RAMON ROSA,322,1,1,25,1,110,18,https://storage.googleapis.com/actas_elecciones_hn2025/actas/322.pdf
ATLANTIDA,LA CEIBA,02,004_SATUYE - ESC. CARLOS HARTLING,325,1,0,23,1,101,38,https://storage.googleapis.com/actas_elecciones_hn2025/actas/325.pdf
ATLANTIDA,LA CEIBA,02,005_EL PERU - ESC. JUAN LINDO,332,1,0,28,1,115,50,https://storage.googleapis.com/actas_elecciones_hn2025/actas/332.pdf
ATLANTIDA,LA CEIBA,02,011_EL BUFALO - ESC. JUSTO RUFINO SPILBURY,349,1,1,19,1,88,63,https://storage.googleapis.com/actas_elecciones_hn2025/actas/349.pdf
ATLANTIDA,LA CEIBA,02,011_EL BUFALO - ESC. JUSTO RUFINO SPILBURY,353,1,0,25,2,82,58,https://storage.googleapis.com/actas_elecciones_hn2025/actas/353.pdf
ATLANTIDA,EL PORVENIR,02,001_EL PORVENIR - ESC. JUAN RAMON MOLINA,371,1,0,33,3,100,66,https://storage.googleapis.com/actas_elecciones_hn2025/actas/371.pdf
ATLANTIDA,EL PORVENIR,02,001_EL PORVENIR - ESC. JUAN RAMON MOLINA,372,1,0,53,1,100,80,https://storage.googleapis.com/actas_elecciones_hn2025/actas/372.pdf
ATLANTIDA,EL PORVENIR,02,004_EL PINO - ESC. FRANCISCO MORAZAN,381,1,1,38,0,102,49,https://storage.googleapis.com/actas_elecciones_hn2025/actas/381.pdf
ATLANTIDA,EL PORVENIR,02,005_LA UNION - ESC. FRANCISCO MORAZAN,397,1,1,27,2,118,72,https://storage.googleapis.com/actas_elecciones_hn2025/actas/397.pdf
ATLANTIDA,EL PORVENIR,02,005_LA UNION - ESC. FRANCISCO MORAZAN,400,1,1,33,1,102,62,https://storage.googleapis.com/actas_elecciones_hn2025/actas/400.pdf
ATLANTIDA,EL PORVENIR,02,006_MONTE POBRE - ESC. JUAN LINDO,401,1,1,20,1,37,71,https://storage.googleapis.com/actas_elecciones_hn2025/actas/401.pdf
ATLANTIDA,EL PORVENIR,02,007_EL GANCHO - ESC. MARGIE DE DIPP,404,1,0,20,1,103,65,https://storage.googleapis.com/actas_elecciones_hn2025/actas/404.pdf
ATLANTIDA,EL PORVENIR,02,011_LA CURVA - ESC. AUGUSTIN GONZALES TRIMINIO,411,1,2,23,0,75,29,https://storage.googleapis.com/actas_elecciones_hn2025/actas/411.pdf
ATLANTIDA,EL PORVENIR,02,012_OROTINA - ESC. FRANCISCO MORAZAN,412,1,0,19,1,100,78,https://storage.googleapis.com/actas_elecciones_hn2025/actas/412.pdf
ATLANTIDA,ESPARTA,02,006_CEIBITA WAY - CEB RAMON ROSA,423,1,0,26,1,120,32,https://storage.googleapis.com/actas_elecciones_hn2025/actas/423.pdf
ATLANTIDA,ESPARTA,02,009_LA LIBERTAD - CEB RAFAEL BARDALES BUESO,429,1,0,5,0,119,29,https://storage.googleapis.com/actas_elecciones_hn2025/actas/429.pdf
ATLANTIDA,ESPARTA,02,018_EL JAZMIN - CEB 2DO DOMINGO DE MAYO,449,1,0,26,0,66,36,https://storage.googleapis.com/actas_elecciones_hn2025/actas/449.pdf
ATLANTIDA,ESPARTA,02,018_EL JAZMIN - CEB 2DO DOMINGO DE MAYO,450,1,0,11,0,74,50,https://storage.googleapis.com/actas_elecciones_hn2025/actas/450.pdf
ATLANTIDA,ESPARTA,02,023_PIEDRAS DE AFILAR - ESC. MARCO AURELIO SOTO,457,1,0,6,1,88,58,https://storage.googleapis.com/actas_elecciones_hn2025/actas/457.pdf
ATLANTIDA,JUTIAPA,02,012_PIEDRAS AMARILLAS - CEB JOSE TRINIDAD REYES,492,1,0,34,0,98,71,https://storage.googleapis.com/actas_elecciones_hn2025/actas/492.pdf
ATLANTIDA,JUTIAPA,02,031_LA BOMBA - CEB MARCO ANTONIO PONCE,525,1,1,48,0,57,39,https://storage.googleapis.com/actas_elecciones_hn2025/actas/525.pdf
ATLANTIDA,JUTIAPA,02,037_DANTO  # 3 - ESC. DONALDO ROBERTO REYES,536,1,0,22,2,102,118,https://storage.googleapis.com/actas_elecciones_hn2025/actas/536.pdf
ATLANTIDA,LA MASICA,01,001_BO. NUEVO - INST. GONZALO G. RODRIGUEZ,544,1,1,19,1,114,41,https://storage.googleapis.com/actas_elecciones_hn2025/actas/544.pdf
ATLANTIDA,LA MASICA,02,008_EL ZAPOTE - ESC. SALVADOR HUMBERTO GUEVARA,592,1,0,10,0,51,37,https://storage.googleapis.com/actas_elecciones_hn2025/actas/592.pdf
ATLANTIDA,LA MASICA,02,011_TRIPOLI - CEB RAFAEL HELIODORO VALLE,599,1,0,20,1,153,63,https://storage.googleapis.com/actas_elecciones_hn2025/actas/599.pdf
ATLANTIDA,LA MASICA,02,013_EL ORO - ESC. FRANCISCO MORAZAN,609,1,0,26,0,121,52,https://storage.googleapis.com/actas_elecciones_hn2025/actas/609.pdf
ATLANTIDA,LA MASICA,02,016_MONTENEGRO - CEB POLICARPO BONILLA,614,1,0,32,0,133,59,https://storage.googleapis.com/actas_elecciones_hn2025/actas/614.pdf
ATLANTIDA,SAN FRANCISCO,02,003_SALADITO - ESC. JOSE TRINIDAD REYES,631,1,1,9,0,51,43,https://storage.googleapis.com/actas_elecciones_hn2025/actas/631.pdf
ATLANTIDA,SAN FRANCISCO,02,004_SANTA ANA - ESC. FRANCISCO MORAZAN,641,1,0,53,4,88,39,https://storage.googleapis.com/actas_elecciones_hn2025/actas/641.pdf
ATLANTIDA,SAN FRANCISCO,02,005_LA FRUTERA - CEB ESTEBAN GUARDIOLA ,647,1,0,40,1,65,66,https://storage.googleapis.com/actas_elecciones_hn2025/actas/647.pdf
ATLANTIDA,TELA,01,005_BO. EL PARAISO - ESC. POLICARPO BONILLA,663,1,1,23,6,105,68,https://storage.googleapis.com/actas_elecciones_hn2025/actas/663.pdf
ATLANTIDA,TELA,01,009_BO. EL RETIRO - ESC. MARIA A. PAZ DE PRIC,678,1,2,26,1,72,72,https://storage.googleapis.com/actas_elecciones_hn2025/actas/678.pdf
ATLANTIDA,TELA,01,009_BO. EL RETIRO - ESC. MARIA A. PAZ DE PRIC,679,1,0,24,1,66,82,https://storage.googleapis.com/actas_elecciones_hn2025/actas/679.pdf
ATLANTIDA,TELA,01,010_BO. LEMPIRA - ESC. LEMPIRA,685,1,0,20,3,73,59,https://storage.googleapis.com/actas_elecciones_hn2025/actas/685.pdf
ATLANTIDA,TELA,01,010_BO. LEMPIRA - ESC. LEMPIRA,686,1,0,28,2,94,46,https://storage.googleapis.com/actas_elecciones_hn2025/actas/686.pdf
ATLANTIDA,TELA,01,011_BO. MORAZAN - JARDIN DE NIÑOS MARIA C. DE TORRES,693,1,0,25,2,79,62,https://storage.googleapis.com/actas_elecciones_hn2025/actas/693.pdf
ATLANTIDA,TELA,01,012_BO. SAN JOSE - CEB. ANTONIO JOSE COELLO,701,1,0,27,3,80,58,https://storage.googleapis.com/actas_elecciones_hn2025/actas/701.pdf
ATLANTIDA,TELA,01,012_BO. SAN JOSE - CEB. ANTONIO JOSE COELLO,704,1,0,29,3,75,66,https://storage.googleapis.com/actas_elecciones_hn2025/actas/704.pdf
ATLANTIDA,TELA,01,016_BO. HILAND CREEK - ESC. JOHN F. KENNEDY,708,1,0,33,2,52,86,https://storage.googleapis.com/actas_elecciones_hn2025/actas/708.pdf
ATLANTIDA,TELA,01,021_COL. CUATRO DE ENERO - CEB. ZENOBIA RODAS DE LEON GOMEZ,722,1,0,26,2,88,69,https://storage.googleapis.com/actas_elecciones_hn2025/actas/722.pdf
