Departamento,Municipio,Zona,Centro,Acta,PDF Link
ATLANTIDA,LA CEIBA,01,001_BO. LA ISLA - CENTRO EVANGELICO BETHEL,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,001_BO. LA ISLA - CENTRO EVANGELICO BETHEL,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,001_BO. LA ISLA - CENTRO EVANGELICO BETHEL,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,026_COL. LAS MERCEDES - ESC. MARCO ANTONIO PONCE,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,028_COL. SUYAPA - CEB RAFAEL  PINEDA PONCE,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,028_COL. SUYAPA - CEB RAFAEL  PINEDA PONCE,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,031_BO. SIERRA PINA - ESC. LEMPIRA,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,035_COL. CASA BLANCA - CEB. EVA BERTOT DE MAZIER,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,036_COL. SAN JUDAS TADEO - CEB CLAUDIO BARRERA,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,040_COL. MELGAR CASTRO No. 2 - ESC. POLICARPO PAZ GARCIA,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,040_COL. MELGAR CASTRO No. 2 - ESC. POLICARPO PAZ GARCIA,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,042_COL. EL DANTO - ESC. JOSE TRINIDAD REYES,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,042_COL. EL DANTO - ESC. JOSE TRINIDAD REYES,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,042_COL. EL DANTO - ESC. JOSE TRINIDAD REYES,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,045_COL. BRISAS DEL NORTE - ESC. JESUS AGUILAR PAZ,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,045_COL. BRISAS DEL NORTE - ESC. JESUS AGUILAR PAZ,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,046_COL. CLUB DE LEONES - ESC. RAFAEL BARDALES BUESO,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,048_COL. PRIMERO DE MAYO - CEB. ENRIQUE ORTEZ PINEL,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
ATLANTIDA,LA CEIBA,01,048_COL. PRIMERO DE MAYO - CEB. ENRIQUE ORTEZ PINEL,[object Object],https://storage.googleapis.com/actas_elecciones_hn2025/actas/[object Object].pdf
