Departamento,Municipio,Centro,Mesa#
LA PAZ,AGUANQUETERIQUE,001_AGUANTEQUERIQUE - ESC. JUAN RAMON MOLINA,13574
LA PAZ,AGUANQUETERIQUE,001_AGUANTEQUERIQUE - ESC. JUAN RAMON MOLINA,13575
LA PAZ,AGUANQUETERIQUE,001_AGUANTEQUERIQUE - ESC. JUAN RAMON MOLINA,13576
LA PAZ,AGUANQUETERIQUE,001_AGUANTEQUERIQUE - ESC. JUAN RAMON MOLINA,13577
LA PAZ,AGUANQUETERIQUE,003_BARRANCARAY - ESC. JOSE CECILIO DEL VALLE,13580
LA PAZ,AGUANQUETERIQUE,003_BARRANCARAY - ESC. JOSE CECILIO DEL VALLE,13581
LA PAZ,AGUANQUETERIQUE,007_EL TEJAR - ESC. RUBEN DARIO,13585
LA PAZ,AGUANQUETERIQUE,006_GUIRACARAY - ESC. ANA ROSA VENTURA,13583
LA PAZ,AGUANQUETERIQUE,006_GUIRACARAY - ESC. ANA ROSA VENTURA,13584
LA PAZ,AGUANQUETERIQUE,009_LA QUESERA - ESC. PATRIOTISMO,13588
LA PAZ,AGUANQUETERIQUE,002_LLANO DE CANDELARIA - ESC. HONDURAS,13578
LA PAZ,AGUANQUETERIQUE,002_LLANO DE CANDELARIA - ESC. HONDURAS,13579
LA PAZ,AGUANQUETERIQUE,005_PIE DE LA CUESTA - C. LA LLORONA - ESC. JUAN LINDO,13582
LA PAZ,AGUANQUETERIQUE,008_QUEBRADA HONDA - ESC. ESTEBAN GUARDIOLA,13586
LA PAZ,AGUANQUETERIQUE,008_QUEBRADA HONDA - ESC. ESTEBAN GUARDIOLA,13587
LA PAZ,CABAÑAS,002_AZACUALPA - CEB ASPIRACION LEMPIRA ,13591
LA PAZ,CABAÑAS,002_AZACUALPA - CEB ASPIRACION LEMPIRA ,13592
LA PAZ,CABAÑAS,002_AZACUALPA - CEB ASPIRACION LEMPIRA ,13593
LA PAZ,CABAÑAS,001_CABAÑAS - CEB MIGUEL PAZ BAHONA ,13589
